record_type,clade,taxonID,scientificName,genus,specificEpithet,infraspecificEpithet,scientificNameID,gbif_id,lookup_method,gbif_status,gbif_confidence,accepted_name,accepted_gbif_id,accepted_gbif_url,error,Species,EDGE.rank,Family,Order,edge.med,ed.med,tbl.med,above.med.tot,above.med.perc,above.med,threat,EDGE.List,synonym_edge_keys
edge_original,gymno,Pinus_douglasiana,Pinus douglasiana,Pinus,douglasiana,,,,name_match,ACCEPTED,100,Pinus douglasiana,5285196,https://gbif.org/species/5285196,,Pinus_douglasiana,919,Pinaceae,Pinales,0.095010408,1.570606,1.570606,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_sabiniana,Pinus sabiniana,Pinus,sabiniana,,,,name_match,ACCEPTED,99,Pinus sabiniana,5285255,https://gbif.org/species/5285255,,Pinus_sabiniana,920,Pinaceae,Pinales,0.094290116,1.711599102,0.715432,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_indica,Juniperus indica,Juniperus,indica,,,,name_match,ACCEPTED,100,Juniperus indica,2684541,https://gbif.org/species/2684541,,Juniperus_indica,921,Cupressaceae,Pinales,0.094117583,1.475518118,1.463099,0,0.0000,n,LC,n,
edge_original,gymno,Cupressus_arizonica,Cupressus arizonica,Cupressus,arizonica,,,,name_match,ACCEPTED,100,Cupressus arizonica,2683969,https://gbif.org/species/2683969,,Cupressus_arizonica,922,Cupressaceae,Pinales,0.093692922,1.533944465,1.53345,0,0.0000,n,LC,n,
edge_original,gymno,Abies_durangensis,Abies durangensis,Abies,durangensis,,,,name_match,ACCEPTED,100,Abies durangensis,2685303,https://gbif.org/species/2685303,,Abies_durangensis,924,Pinaceae,Pinales,0.093048528,1.550917214,1.550917,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_horizontalis,Juniperus horizontalis,Juniperus,horizontalis,,,,name_match,ACCEPTED,100,Juniperus horizontalis,2684410,https://gbif.org/species/2684410,,Juniperus_horizontalis,923,Cupressaceae,Pinales,0.093447824,1.569525,1.569525,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_sibirica,Pinus sibirica,Pinus,sibirica,,,,name_match,ACCEPTED,99,Pinus sibirica,5284667,https://gbif.org/species/5284667,,Pinus_sibirica,925,Pinaceae,Pinales,0.092179662,1.370079068,1.284759,0,0.0000,n,LC,n,
edge_original,gymno,Widdringtonia_nodiflora,Widdringtonia nodiflora,Widdringtonia,nodiflora,,,,name_match,ACCEPTED,100,Widdringtonia nodiflora,2684243,https://gbif.org/species/2684243,,Widdringtonia_nodiflora,927,Cupressaceae,Pinales,0.091153703,1.386072818,1.38211,0,0.0000,n,LC,n,
edge_original,gymno,Gnetum_macrostachyum,Gnetum macrostachyum,Gnetum,macrostachyum,,,,name_match,ACCEPTED,100,Gnetum macrostachyum,2653196,https://gbif.org/species/2653196,,Gnetum_macrostachyum,926,Gnetaceae,Gnetales,0.091995743,2.04818401,2.048184,0,0.0000,n,LC,n,
edge_original,gymno,Picea_mariana,Picea mariana,Picea,mariana,,,,name_match,ACCEPTED,99,Picea mariana,5284802,https://gbif.org/species/5284802,,Picea_mariana,928,Pinaceae,Pinales,0.091107383,1.527344506,1.516442,0,0.0000,n,LC,n,
edge_original,gymno,Abies_amabilis,Abies amabilis,Abies,amabilis,,,,name_match,ACCEPTED,99,Abies amabilis,2685524,https://gbif.org/species/2685524,,Abies_amabilis,929,Pinaceae,Pinales,0.090712594,1.455919453,1.357145,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_uncinata,Pinus uncinata,Pinus,uncinata,,,,name_match,ACCEPTED,99,Pinus uncinata,5285332,https://gbif.org/species/5285332,,Pinus_uncinata,930,Pinaceae,Pinales,0.090293881,1.724699989,1.394312,0,0.0000,n,LC,n,
edge_original,gymno,Cycas_furfuracea,Cycas furfuracea,Cycas,furfuracea,,,,name_match,ACCEPTED,100,Cycas furfuracea,2683269,https://gbif.org/species/2683269,,Cycas_furfuracea,932,Cycadaceae,Cycadales,0.089107775,1.621590862,1.611192,0,0.0000,n,LC,n,
edge_original,gymno,Cupressus_lusitanica,Cupressus lusitanica,Cupressus,lusitanica,,,,name_match,ACCEPTED,99,Cupressus lusitanica,2684046,https://gbif.org/species/2684046,,Cupressus_lusitanica,931,Cupressaceae,Pinales,0.090171583,1.442043379,1.359731,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_clausa,Pinus clausa,Pinus,clausa,,,,name_match,ACCEPTED,99,Pinus clausa,5285768,https://gbif.org/species/5285768,,Pinus_clausa,933,Pinaceae,Pinales,0.088411648,1.373775707,1.271475,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_montezumae,Pinus montezumae,Pinus,montezumae,,,,name_match,ACCEPTED,99,Pinus montezumae,5285261,https://gbif.org/species/5285261,,Pinus_montezumae,934,Pinaceae,Pinales,0.08814476,1.759512234,1.758164,0,0.0000,n,LC,n,
edge_original,gymno,Cycas_basaltica,Cycas basaltica,Cycas,basaltica,,,,name_match,ACCEPTED,100,Cycas basaltica,2683213,https://gbif.org/species/2683213,,Cycas_basaltica,935,Cycadaceae,Cycadales,0.087930653,1.623795714,1.611192,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_foetidissima,Juniperus foetidissima,Juniperus,foetidissima,,,,name_match,ACCEPTED,99,Juniperus foetidissima,2684648,https://gbif.org/species/2684648,,Juniperus_foetidissima,936,Cupressaceae,Pinales,0.087352607,1.80385579,1.439354967,0,0.0000,n,LC,n,
edge_original,gymno,Picea_rubens,Picea rubens,Picea,rubens,,,,name_match,ACCEPTED,100,Picea rubens,5284717,https://gbif.org/species/5284717,,Picea_rubens,937,Pinaceae,Pinales,0.086739015,1.52801551,1.516442,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_scopulorum,Juniperus scopulorum,Juniperus,scopulorum,,,,name_match,ACCEPTED,100,Juniperus scopulorum,2684773,https://gbif.org/species/2684773,,Juniperus_scopulorum,938,Cupressaceae,Pinales,0.086486014,1.330953021,1.330953,0,0.0000,n,LC,n,
edge_original,gymno,Abies_veitchii,Abies veitchii,Abies,veitchii,,,,name_match,ACCEPTED,100,Abies veitchii,2685400,https://gbif.org/species/2685400,,Abies_veitchii,939,Pinaceae,Pinales,0.08566297,1.569169,1.569169,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_engelmannii,Pinus engelmannii,Pinus,engelmannii,,,,name_match,ACCEPTED,99,Pinus engelmannii,5285058,https://gbif.org/species/5285058,,Pinus_engelmannii,940,Pinaceae,Pinales,0.084624737,1.387771174,1.387766,0,0.0000,n,LC,n,
edge_original,gymno,Gnetum_parvifolium,Gnetum parvifolium,Gnetum,parvifolium,,,,name_match,ACCEPTED,100,Gnetum parvifolium,2653207,https://gbif.org/species/2653207,,Gnetum_parvifolium,941,Gnetaceae,Gnetales,0.083546166,1.435175155,1.435172,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_pingii,Juniperus pingii,Juniperus,pingii,,,,name_match,ACCEPTED,99,Juniperus pingii,2684563,https://gbif.org/species/2684563,,Juniperus_pingii,942,Cupressaceae,Pinales,0.083352057,0.691089527,0.691083,0,0.0000,n,NT,n,
edge_original,gymno,Abies_magnifica,Abies magnifica,Abies,magnifica,,,,name_match,ACCEPTED,100,Abies magnifica,2685422,https://gbif.org/species/2685422,,Abies_magnifica,944,Pinaceae,Pinales,0.082492773,1.463224922,1.357145,0,0.0000,n,LC,n,
edge_original,gymno,Ephedra_funerea,Ephedra funerea,Ephedra,funerea,,,,name_match,ACCEPTED,100,Ephedra funerea,2653426,https://gbif.org/species/2653426,,Ephedra_funerea,943,Ephedraceae,Ephedrales,0.083151319,0.686581,0.686581,0,0.0000,n,NT,n,
edge_original,gymno,Callitris_arenaria,Callitris arenaria,Callitris,arenaria,,,,name_match,SYNONYM,100,Actinostrobus arenarius,2684114,https://gbif.org/species/2684114,,Callitris_arenaria,945,Cupressaceae,Pinales,0.082225701,1.324570385,1.133705,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_squamata,Juniperus squamata,Juniperus,squamata,,,,name_match,ACCEPTED,99,Juniperus squamata,2684690,https://gbif.org/species/2684690,,Juniperus_squamata,946,Cupressaceae,Pinales,0.08110103,1.478164075,1.463099,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_devoniana,Pinus devoniana,Pinus,devoniana,,,,name_match,ACCEPTED,100,Pinus devoniana,5285019,https://gbif.org/species/5285019,,Pinus_devoniana,948,Pinaceae,Pinales,0.080891219,1.199634308,1.199631,0,0.0000,n,LC,n,
edge_original,gymno,Dacrydium_magnum,Dacrydium magnum,Dacrydium,magnum,,,,name_match,ACCEPTED,99,Dacrydium magnum,5286167,https://gbif.org/species/5286167,,Dacrydium_magnum,947,Podocarpaceae,Pinales,0.080960037,0.669575171,0.206607,0,0.0000,n,NT,n,
edge_original,gymno,Ephedra_rupestris,Ephedra rupestris,Ephedra,rupestris,,,,name_match,ACCEPTED,100,Ephedra rupestris,2653294,https://gbif.org/species/2653294,,Ephedra_rupestris,949,Ephedraceae,Ephedrales,0.080286335,1.464491,1.464491,0,0.0000,n,LC,n,
edge_original,gymno,Pinus_virginiana,Pinus virginiana,Pinus,virginiana,,,,name_match,ACCEPTED,100,Pinus virginiana,5285091,https://gbif.org/species/5285091,,Pinus_virginiana,952,Pinaceae,Pinales,0.078758441,1.388217141,1.271475,0,0.0000,n,LC,n,
edge_original,gymno,Callitris_preissii,Callitris preissii,Callitris,preissii,,,,name_match,ACCEPTED,100,Callitris preissii,2684273,https://gbif.org/species/2684273,,Callitris_preissii,950,Cupressaceae,Pinales,0.079244384,1.340320205,1.201325,0,0.0000,n,LC,n,
edge_original,gymno,Callitris_verrucosa,Callitris verrucosa,Callitris,verrucosa,,,,name_match,ACCEPTED,99,Callitris verrucosa,2684334,https://gbif.org/species/2684334,,Callitris_verrucosa,951,Cupressaceae,Pinales,0.079220259,1.346356644,1.201325,0,0.0000,n,LC,n,
edge_original,gymno,Juniperus_chinensis,Juniperus chinensis,Juniperus,chinensis,,,,name_match,ACCEPTED,99,Juniperus chinensis,2684363,https://gbif.org/species/2684363,,Juniperus_chinensis,953,Cupressaceae,Pinales,0.078638776,1.405650899,1.405646,0,0.0000,n,LC,n,
edge_original,gymno,Ephedra_minuta,Ephedra minuta,Ephedra,minuta,,,,name_match,ACCEPTED,100,Ephedra minuta,2653421,https://gbif.org/species/2653421,,Ephedra_minuta,954,Ephedraceae,Ephedrales,0.078585084,1.350668161,1.334631,0,0.0000,n,LC,n,
